date_raw	event_raw	sport_raw	location_raw	status_raw	winner_raw	source	source_url	source_table_index	source_heading	source_month	row_order	date	event	sport	location	sort_start_date	sort_end_date	final_row_key	is_valid_final_row	drop_reason	duplicate_exact	duplicate_exact_preferred	keep_final_row
27. Feb. – 1. Mrz.	Deutsche Hallenmeisterschaften	Leichtathletik	Dortmund			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		33		Deutsche Hallenmeisterschaften	Leichtathletik	Dortmund				False	unparseable_date	False	False	False
27. Feb. – 5. Mrz.	Europameisterschaften über 10 Meter	Sportschießen	Jerewan			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		34		Europameisterschaften über 10 Meter	Sportschießen	Jerewan				False	unparseable_date	False	False	False
28. Feb.	Omloop Het Nieuwsblad	Radsport	Ostflandern			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	1	Februar		35		Omloop Het Nieuwsblad	Radsport	Ostflandern				False	unparseable_date	False	False	False
2. Mrz. – 7. Mrz.	Juniorenweltmeisterschaften (Slopestyle, Big Air, Halfpipe und Street Style)	Freestyle-Skiing	Calgary			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		36		Juniorenweltmeisterschaften (Slopestyle, Big Air, Halfpipe und Street Style)	Freestyle-Skiing	Calgary				False	unparseable_date	False	False	False
3. Mrz. – 8. Mrz.	Nordische Junioren-Skiweltmeisterschaften	Ski Nordisch	Lillehammer			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		37		Nordische Junioren-Skiweltmeisterschaften	Ski Nordisch	Lillehammer				False	unparseable_date	False	False	False
5. Mrz. – 15. Mrz.	Juniorenweltmeisterschaften	Ski Alpin	Narvik			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		38		Juniorenweltmeisterschaften	Ski Alpin	Narvik				False	unparseable_date	False	False	False
6. Mrz. – 8. Mrz.	UK Open	Darts	Minehead			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		39		UK Open	Darts	Minehead				False	unparseable_date	False	False	False
6. Mrz. – 15. Mrz.	Winter-Paralympics	Multisportveranstaltung	Mailand Cortina d'Ampezzo			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		40		Winter-Paralympics	Multisportveranstaltung	Mailand Cortina d'Ampezzo				False	unparseable_date	False	False	False
7. Mrz.	Strade Bianche	Radsport	Italien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		41		Strade Bianche	Radsport	Italien				False	unparseable_date	False	False	False
8. Mrz. – 15. Mrz.	Paris–Nizza	Radsport	Frankreich			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		42		Paris–Nizza	Radsport	Frankreich				False	unparseable_date	False	False	False
9. Mrz. – 15. Mrz.	Tirreno–Adriatico	Radsport	Italien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		43		Tirreno–Adriatico	Radsport	Italien				False	unparseable_date	False	False	False
13. Mrz. – 15. Mrz.	European Darts Trophy	Darts	Göttingen			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		44		European Darts Trophy	Darts	Göttingen				False	unparseable_date	False	False	False
14. Mrz. – 22. Mrz.	Weltmeisterschaft der Damen	Curling	Calgary			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		45		Weltmeisterschaft der Damen	Curling	Calgary				False	unparseable_date	False	False	False
19. Mrz. – 23. Mrz.	Juniorenweltmeisterschaften (Moguls und Aerials)	Freestyle-Skiing	Airolo			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		46		Juniorenweltmeisterschaften (Moguls und Aerials)	Freestyle-Skiing	Airolo				False	unparseable_date	False	False	False
20. Mrz. – 22. Mrz.	Belgian Darts Open	Darts	Lebbeke			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		47		Belgian Darts Open	Darts	Lebbeke				False	unparseable_date	False	False	False
20. Mrz. – 22. Mrz.	Hallenweltmeisterschaften	Leichtathletik	Toruń			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		48		Hallenweltmeisterschaften	Leichtathletik	Toruń				False	unparseable_date	False	False	False
21. Mrz.	Mailand–Sanremo	Radsport	Italien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		49		Mailand–Sanremo	Radsport	Italien				False	unparseable_date	False	False	False
23. Mrz. – 29. Mrz.	Weltmeisterschaften	Eiskunstlauf	Prag			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		50		Weltmeisterschaften	Eiskunstlauf	Prag				False	unparseable_date	False	False	False
23. Mrz. – 29. Mrz.	Katalonien-Rundfahrt	Radsport	Katalonien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		51		Katalonien-Rundfahrt	Radsport	Katalonien				False	unparseable_date	False	False	False
25. Mrz.	Classic Brugge–De Panne	Radsport	Westflandern			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		52		Classic Brugge–De Panne	Radsport	Westflandern				False	unparseable_date	False	False	False
27. Mrz.	E3 Harelbeke	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		53		E3 Harelbeke	Radsport	Belgien				False	unparseable_date	False	False	False
27. Mrz. – 30. Mrz.	Juniorenweltmeisterschaften (Snowboardcross)	Snowboard	St. Moritz			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		54		Juniorenweltmeisterschaften (Snowboardcross)	Snowboard	St. Moritz				False	unparseable_date	False	False	False
27. Mrz. – 4. Apr.	Weltmeisterschaft der Herren	Curling	Ogden			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		55		Weltmeisterschaft der Herren	Curling	Ogden				False	unparseable_date	False	False	False
28. Apr. – 16. Apr.	Schach-Kandidatenturnier	Schach	Pegia			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		56		Schach-Kandidatenturnier	Schach	Pegia				False	unparseable_date	False	False	False
29. Mrz.	Gent–Wevelgem	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		57		Gent–Wevelgem	Radsport	Belgien				False	unparseable_date	False	False	False
30. Mrz. – 5. Apr.	Weltmeisterschaft der Frauen Division 2B	Eishockey	Hongkong			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	2	März		58		Weltmeisterschaft der Frauen Division 2B	Eishockey	Hongkong				False	unparseable_date	False	False	False
1. Apr.	Dwars door Vlaanderen	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		59		Dwars door Vlaanderen	Radsport	Belgien				False	unparseable_date	False	False	False
1. Apr. – 18. Apr.	U-20-Asienmeisterschaft der Frauen	Fußball	Thailand			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		60		U-20-Asienmeisterschaft der Frauen	Fußball	Thailand				False	unparseable_date	False	False	False
4. Apr. – 6. Apr.	German Darts Grand Prix	Darts	München			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		61		German Darts Grand Prix	Darts	München				False	unparseable_date	False	False	False
5. Apr.	Flandern-Rundfahrt	Radsport	Belgien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		62		Flandern-Rundfahrt	Radsport	Belgien				False	unparseable_date	False	False	False
6. Apr. – 11. Apr.	Baskenland-Rundfahrt	Radsport	Spanien			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		63		Baskenland-Rundfahrt	Radsport	Spanien				False	unparseable_date	False	False	False
8. Apr. – 12. Apr.	Europameisterschaften	Trampolinturnen	Portimão			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		64		Europameisterschaften	Trampolinturnen	Portimão				False	unparseable_date	False	False	False
12. Apr.	Mailand-Marathon	Leichtathletik	Mailand			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		65		Mailand-Marathon	Leichtathletik	Mailand				False	unparseable_date	False	False	False
12. Apr.	Paris–Roubaix	Radsport	Frankreich			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		66		Paris–Roubaix	Radsport	Frankreich				False	unparseable_date	False	False	False
12. Apr. – 18. Apr.	Weltmeisterschaft der Frauen Division 1A	Eishockey	Budapest			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		67		Weltmeisterschaft der Frauen Division 1A	Eishockey	Budapest				False	unparseable_date	False	False	False
12. Apr. – 18. Apr.	Weltmeisterschaft der Frauen Division 1B	Eishockey	Puigcerdà			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		68		Weltmeisterschaft der Frauen Division 1B	Eishockey	Puigcerdà				False	unparseable_date	False	False	False
12. Apr. – 19. Apr.	Europameisterschaften	Judo	Tiflis			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		69		Europameisterschaften	Judo	Tiflis				False	unparseable_date	False	False	False
13. Apr. – 16. Apr.	Weltmeisterschaft der Frauen Division 2A	Eishockey	Bled			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		70		Weltmeisterschaft der Frauen Division 2A	Eishockey	Bled				False	unparseable_date	False	False	False
17. Apr. – 19. Apr.	European Darts Grand Prix	Darts	Sindelfingen			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		71		European Darts Grand Prix	Darts	Sindelfingen				False	unparseable_date	False	False	False
17. Apr. – 19. Apr.	Deutsches Meisterschaftsrudern (Kleinboote)	Rudern	München			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		72		Deutsches Meisterschaftsrudern (Kleinboote)	Rudern	München				False	unparseable_date	False	False	False
18. Apr. – 4. Mai	Snookerweltmeisterschaft	Billard	Sheffield			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		73		Snookerweltmeisterschaft	Billard	Sheffield				False	unparseable_date	False	False	False
19. Apr.	Amstel Gold Race	Radsport	Niederlande			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		74		Amstel Gold Race	Radsport	Niederlande				False	unparseable_date	False	False	False
19. Apr. – 26. Apr.	Europameisterschaften	Gewichtheben	Batumi			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		75		Europameisterschaften	Gewichtheben	Batumi				False	unparseable_date	False	False	False
20. Apr.	Boston-Marathon	Marathon	Boston			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		76		Boston-Marathon	Marathon	Boston				False	unparseable_date	False	False	False
20. Apr. – 26. Apr.	Europameisterschaften	Ringen	Tirana			de	https://de.wikipedia.org/wiki/Portal:Sport/Sportkalender_2026	3	April		77		Europameisterschaften	Ringen	Tirana				False	unparseable_date	False	False	False
